,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ID_producto,categoria,subcategoria,descripcion,titulo,precio,descripcion_precio,peso,unidad,precio_por_unidad,origen,link_producto,tiempo_computo,atributos,energia_kj,energia_kcal,grasas_g,grasas_saturadas_g,grasas_mono_g,grasas_poli_g,carbohidratos_g,azucar_g,fibra_g,proteina_g,sal_g,marca,alergenos,precio_relativo
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4241,"Aceite, especias y salsas",Aceite de oliva,"Aceite de oliva 0,4º Hacendado. Alérgenos: x99.. Ingredientes: Ingredientes: Aceite de oliva refinado y Aceite de Oliva Virgen Extra.","Aceite de oliva 0,4º Hacendado",18.75,"Garrafa 5 L | 3,75 €/L",5.0,L,3.75,españa,https://tienda.mercadona.es/product/4241/aceite-oliva-04o-hacendado-garrafa,4.76,ninguno,3378.0,822.0,91.4,12.8,70.4,8.2,0.0,0.0,,0.0,0.0,Hacendado,ninguno,barato
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4240,"Aceite, especias y salsas",Aceite de oliva,"Aceite de oliva 0,4º Hacendado. Alérgenos: x99.. Ingredientes: Ingredientes: Aceite de oliva refinado y Aceite de Oliva Virgen Extra.","Aceite de oliva 0,4º Hacendado",3.85,"Botella 1 L | 3,85 €/L",1.0,L,3.85,españa,https://tienda.mercadona.es/product/4240/aceite-oliva-04o-hacendado-botella,4.6,ninguno,3378.0,822.0,91.4,12.8,70.4,8.2,0.0,0.0,,0.0,0.0,Hacendado,ninguno,estandar
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4717,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen extra Hacendado. Alérgenos: x99.. Ingredientes: Aceite de Oliva Virgen Extra.,Aceite de oliva virgen extra Hacendado,13.7,"Garrafa 3 L | 4,567 €/L",3.0,L,4.567,puente,https://tienda.mercadona.es/product/4717/aceite-oliva-virgen-extra-hacendado-garrafa,5.44,ninguno,3367.0,819.0,91.0,14.0,71.0,6.0,0.0,0.0,,0.0,0.0,Hacendado,ninguno,estandar
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4740,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen extra Hacendado. Alérgenos: x99.. Ingredientes: Aceite de Oliva Virgen Extra.,Aceite de oliva virgen extra Hacendado,4.65,"Botella 1 L | 4,65 €/L",1.0,L,4.65,jaén,https://tienda.mercadona.es/product/4740/aceite-oliva-virgen-extra-hacendado-botella,5.92,ninguno,3367.0,819.0,91.0,14.0,71.0,6.0,0.0,0.0,,0.0,0.0,Hacendado,ninguno,caro
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4706,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen extra Hacendado Gran Selección. Alérgenos: x99.. Ingredientes: Ingredientes: Aceite de Oliva Virgen Extra.,Aceite de oliva virgen extra Hacendado Gran Selección,5.95,"Botella 750 ml | 7,934 €/L",0.75,L,7.934,españa,https://tienda.mercadona.es/product/4706/aceite-oliva-virgen-extra-hacendado-gran-seleccion-botella,3.77,ninguno,3378.0,822.0,91.0,13.0,70.0,8.0,0.0,0.0,,0.0,0.0,Hacendado,ninguno,muy caro
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4641,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva 1º Hacendado. Alérgenos: x99.. Ingredientes: Aceite De Oliva Virgen y Aceite De Oliva Refinado.,Aceite de oliva 1º Hacendado,19.45,"Garrafa 5 L | 3,89 €/L",5.0,L,3.89,españa,https://tienda.mercadona.es/product/4641/aceite-oliva-1o-hacendado-garrafa,6.25,ninguno,3378.0,822.0,91.4,12.8,70.4,8.2,0.0,0.0,,0.0,0.0,Hacendado,ninguno,barato
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4640,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva 1º Hacendado. Alérgenos: x99.. Ingredientes: Ingredientes: Aceite de oliva refinado y Aceite de Oliva Virgen.,Aceite de oliva 1º Hacendado,4.0,"Botella 1 L | 4,00 €/L",1.0,L,4.0,españa,https://tienda.mercadona.es/product/4640/aceite-oliva-1o-hacendado-botella,6.37,ninguno,3378.0,822.0,91.4,12.8,70.4,8.2,0.0,0.0,,0.0,0.0,Hacendado,ninguno,estandar
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,4711,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen Hacendado. Alérgenos: x99.. Ingredientes: Ingredientes: Aceite de Oliva Virgen.,Aceite de oliva virgen Hacendado,11.75,"Garrafa 3 L | 3,917 €/L",3.0,L,3.917,puente,https://tienda.mercadona.es/product/4711/aceite-oliva-virgen-hacendado-garrafa,4.45,ninguno,3367.0,819.0,91.0,14.0,71.0,6.0,0.0,0.0,,0.0,0.0,Hacendado,ninguno,estandar
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,4749,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen Hacendado. Alérgenos: x99.. Ingredientes: Ingredientes: Aceite de Oliva Virgen Extra.,Aceite de oliva virgen Hacendado,4.1,"Botella 1 L | 4,10 €/L",1.0,L,4.1,puente,https://tienda.mercadona.es/product/4749/aceite-oliva-virgen-hacendado-botella,6.19,ninguno,3367.0,819.0,91.0,14.0,71.0,6.0,0.0,0.0,,0.0,0.0,Hacendado,ninguno,estandar
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4718,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen extra Hacendado. Ingredientes: ACEITE DE OLIVA VIRGEN EXTRA.,Aceite de oliva virgen extra Hacendado,2.8,"Spray 200 ml | 14,00 €/L",0.2,L,14.0,,https://tienda.mercadona.es/product/4718/aceite-oliva-virgen-extra-hacendado-spray,6.23,ninguno,,824.0,91.0,15.0,,,0.0,0.0,,0.0,0.0,Hacendado,ninguno,caro
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4850,"Aceite, especias y salsas",Aceite de oliva,Aceite de oliva virgen extra Picual Casa Juncal. Alérgenos: x99.. Ingredientes: Aceite de oliva virgen extra.,Aceite de oliva virgen extra Picual Casa Juncal,4.95,"Botella 500 ml | 9,90 €/L",0.5,L,9.9,,https://tienda.mercadona.es/product/4850/aceite-oliva-virgen-extra-picual-casa-juncal-botella,4.33,ninguno,3339.0,824.0,92.0,14.0,74.0,3.9,0.0,0.0,0.0,0.0,0.0,Casa Juncal,ninguno,muy caro
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,4940,"Aceite, especias y salsas",Vinagre y otros aderezos,"Vinagre de vino blanco Hacendado. Alérgenos: Contiene dióxido de azufre y sulfitos.. Ingredientes: Vinagre de vino , antioxidante: E-223 (Contiene sulfitos).. Origen: España",Vinagre de vino blanco Hacendado,0.65,"Botella 1 L | 0,65 €/L",1.0,L,0.65,españa,https://tienda.mercadona.es/product/4940/vinagre-vino-blanco-hacendado-botella,4.79,ninguno,85.0,20.0,0.0,0.0,,,0.0,0.0,,0.0,0.05,Hacendado,sulfitos,muy barato
